M,N,K,Raster,Swizzle,Decomposition,Splits,AvgRuntime_ms,TFLOPS,WorktileCount
8192,8192,8192,Along N,4,StreamK,1,1.65074,666.073,4096
8192,8192,8192,Along N,8,StreamK,1,1.68022,654.385,4096
8192,8192,8192,Along M,1,StreamK,1,2.00143,549.364,4096
8192,8192,8192,Along M,2,StreamK,1,1.88122,584.469,4096
8192,8192,8192,Along M,4,StreamK,1,1.69754,647.709,4096
8192,8192,8192,Along M,8,StreamK,1,1.67549,656.234,4096
8192,8192,8192,Heuristic,1,SplitK,1,1.68163,653.839,4096
8192,8192,8192,Heuristic,1,SplitK,2,1.84843,594.835,4096
8192,8192,8192,Heuristic,1,SplitK,3,1.90178,578.15,4096
8192,8192,8192,Heuristic,1,SplitK,4,2.01263,546.305,4096
8192,8192,8192,Heuristic,2,SplitK,1,1.60829,683.654,4096
8192,8192,8192,Heuristic,2,SplitK,2,1.73687,633.041,4096
8192,8192,8192,Heuristic,2,SplitK,3,1.84598,595.626,4096
8192,8192,8192,Heuristic,2,SplitK,4,1.99034,552.424,4096
8192,8192,8192,Heuristic,4,SplitK,1,1.6566,663.717,4096
8192,8192,8192,Heuristic,4,SplitK,2,1.75868,625.193,4096
8192,8192,8192,Heuristic,4,SplitK,3,1.88035,584.738,4096
8192,8192,8192,Heuristic,4,SplitK,4,2.02747,542.308,4096
8192,8192,8192,Heuristic,8,SplitK,1,1.66863,658.932,4096
8192,8192,8192,Heuristic,8,SplitK,2,1.77986,617.752,4096
8192,8192,8192,Heuristic,8,SplitK,3,1.9139,574.488,4096
8192,8192,8192,Heuristic,8,SplitK,4,2.04305,538.173,4096
8192,8192,8192,Along N,1,SplitK,1,1.68053,654.265,4096
8192,8192,8192,Along N,1,SplitK,2,1.88004,584.834,4096
8192,8192,8192,Along N,1,SplitK,3,1.8923,581.044,4096
8192,8192,8192,Along N,1,SplitK,4,2.01514,545.626,4096
8192,8192,8192,Along N,2,SplitK,1,1.59886,687.683,4096
8192,8192,8192,Along N,2,SplitK,2,1.72744,636.498,4096
8192,8192,8192,Along N,2,SplitK,3,1.85441,592.918,4096
8192,8192,8192,Along N,2,SplitK,4,1.98535,553.814,4096
8192,8192,8192,Along N,4,SplitK,1,1.67914,654.808,4096
8192,8192,8192,Along N,4,SplitK,2,1.76686,622.298,4096
8192,8192,8192,Along N,4,SplitK,3,1.88153,584.37,4096
8192,8192,8192,Along N,4,SplitK,4,2.03197,541.105,4096
8192,8192,8192,Along N,8,SplitK,1,1.67206,657.577,4096
8192,8192,8192,Along N,8,SplitK,2,1.78392,616.347,4096
8192,8192,8192,Along N,8,SplitK,3,1.9121,575.027,4096
8192,8192,8192,Along N,8,SplitK,4,2.0439,537.949,4096
8192,8192,8192,Along M,1,SplitK,1,2.05442,535.193,4096
8192,8192,8192,Along M,1,SplitK,2,1.94066,566.565,4096
8192,8192,8192,Along M,1,SplitK,3,1.99907,550.012,4096
8192,8192,8192,Along M,1,SplitK,4,2.10307,522.814,4096
8192,8192,8192,Along M,2,SplitK,1,1.87921,585.092,4096
8192,8192,8192,Along M,2,SplitK,2,1.9117,575.148,4096
8192,8192,8192,Along M,2,SplitK,3,2.00372,548.735,4096
8192,8192,8192,Along M,2,SplitK,4,2.10429,522.51,4096
8192,8192,8192,Along M,4,SplitK,1,1.71121,642.535,4096
8192,8192,8192,Along M,4,SplitK,2,1.88561,583.108,4096
8192,8192,8192,Along M,4,SplitK,3,2.02959,541.741,4096
8192,8192,8192,Along M,4,SplitK,4,2.16471,507.925,4096
8192,8192,8192,Along M,8,SplitK,1,1.69558,648.457,4096
8192,8192,8192,Along M,8,SplitK,2,1.85622,592.34,4096
8192,8192,8192,Along M,8,SplitK,3,1.99817,550.259,4096
8192,8192,8192,Along M,8,SplitK,4,2.14713,512.084,4096
8192,8192,8192,Heuristic,1,DataParallel,1,1.67424,656.724,4096
8192,8192,8192,Heuristic,2,DataParallel,1,1.62495,676.644,4096
8192,8192,8192,Heuristic,4,DataParallel,1,1.66099,661.963,4096
8192,8192,8192,Heuristic,8,DataParallel,1,1.66794,659.205,4096
8192,8192,8192,Along N,1,DataParallel,1,1.67595,656.054,4096
8192,8192,8192,Along N,2,DataParallel,1,1.62153,678.071,4096
8192,8192,8192,Along N,4,DataParallel,1,1.67491,656.461,4096
8192,8192,8192,Along N,8,DataParallel,1,1.66075,662.056,4096
8192,8192,8192,Along M,1,DataParallel,1,1.90047,578.549,4096
8192,8192,8192,Along M,2,DataParallel,1,1.83956,597.705,4096
8192,8192,8192,Along M,4,DataParallel,1,1.72036,639.116,4096
8192,8192,8192,Along M,8,DataParallel,1,1.68994,650.623,4096

